ebookNumber,Title,Author,Date,Language,Credits
01308,Three Men in a Boat (To Say Nothing of the Dog),Jerome K. Jerome,Unknown Date,English,David Price and Margaret Price
01309,Rhymes of a Rolling Stone,Robert W. Service,Unknown Date,English,Produced by A. Light, and David Widger
01310,Before Adam,Jack London,Unknown Date,English,John Hamm and David Widger
01311,Bunner Sisters,Edith Wharton,Unknown Date,English,Produced by Judith Boss and David Widger
01312,Young Adventure: A Book of Poems,Stephen Vincent Benét,Unknown Date,English,Produced by A. Light, L. Bowser, and David Widger
01313,Children of the Night,Edwin Arlington Robinson,Unknown Date,English,Produced by A. Light, L. Bowser, and David Widger
01314,Guide to Life and Literature of the Southwest, with a Few Observations,J. Frank Dobie,Unknown Date,English,Produced by Charles Keller, and David Widger
01315,Rhymes of a Red Cross Man,Robert W. Service,Unknown Date,English,Produced by A. Light, and David Widger
01316,The Golden Road,L. M. Montgomery,Unknown Date,English,John Hamm and David Widger
01317,The Culprit Fay, and Other Poems,Joseph Rodman Drake,Unknown Date,English,Transcribed from the 1836 George Dearborn edition by David Price
01318,John Barleycorn,Jack London,Unknown Date,English,Unknown Credits
01319,The Ways of Men,Eliot Gregory,Unknown Date,English,Transcribed from the 1900 Charles Scribner’s sons edition by David Price
01320,Vida De Lazarillo De Tormes Y De Sus Fortunas Y Adversidades,Anonymous,Unknown Date,Spanish,Unknown Credits
01321,Moran of the Lady Letty,Frank Norris,Unknown Date,English,Produced by John Hamm, and David Widger
01322,St. Ives: Being the Adventures of a French Prisoner in England,Robert Louis Stevenson,Unknown Date,English,Transcribed 1898 William Heinemann edition by David Price
01323,Verses 1889-1896,Rudyard Kipling,Unknown Date,English,Produced by Judith Boss and David Widger
01324,A Knight of the Cumberland,Jr. John Fox,Unknown Date,English,Produced by Mike Lough, and David Widger
01325,Phantastes: A Faerie Romance for Men and Women,George MacDonald,Unknown Date,English,Mike Lough and David Widger
01326,Steep Trails,John Muir,Unknown Date,English,Judy Gibson and David Widger
01327,The Princess Aline,Richard Harding Davis,Unknown Date,English,Unknown Credits
01328,A Heap o' Livin',Edgar A. Guest,Unknown Date,English,Unknown Credits
01329,Island Nights' Entertainments,Robert Louis Stevenson,Unknown Date,English,David Price
01330,Where There's a Will,Mary Roberts Rinehart,Unknown Date,English,Produced by An Anonymous Volunteer and David Widger
01331,The Mucker,Edgar Rice Burroughs,Unknown Date,English,Produced by Judith Boss, and David Widger
01332,The Burial of the Guns,Thomas Nelson Page,Unknown Date,English,Produced by A. Light, Sherrie Settle and David Widger
01333,Robert Louis Stevenson,Sir Walter Alexander Raleigh,Unknown Date,English,Transcribed from the 1906 Edward Arnold edition by David Price
01334,Episodes in Van Bibber's Life,Richard Harding Davis,Unknown Date,English,Unknown Credits
01335,Frances Waldeaux: A Novel,Rebecca Harding Davis,Unknown Date,English,Unknown Credits
01336,Indian Heroes and Great Chieftains,Charles A. Eastman,Unknown Date,English,Produced by Judith Boss, and David Widger
01337,Indian Boyhood,Charles A. Eastman,Unknown Date,English,Produced by Judith Boss, and David Widger
01338,Old Indian Legends,Zitkala-Sa,Unknown Date,English,Produced by Judith Boss, and David Widger
01339,Old Indian Days,Charles A. Eastman,Unknown Date,English,Produced by Judith Boss, and David Widger
01340,The Soul of the Indian: An Interpretation,Charles A. Eastman,Unknown Date,English,Produced by Judith Boss, and David Widger
01341,Myths and Legends of the Sioux,Marie L. McLaughlin,Unknown Date,English,Produced by Judith Boss, and David Widger
01342,Margaret Ogilvy,J. M. Barrie,Unknown Date,English,Transcribed from the 1897 Chatto & Windus edition by David Price
01343,Fables,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1901 Longmans, Green & Co. edition by David Price
01344,The Merry Men, and Other Tales and Fables,Robert Louis Stevenson,Unknown Date,English,David Price
01345,Dracula,Bram Stoker,Unknown Date,English,Chuck Greif and the Online Distributed Proofreading Team
01346,The Troll Garden, and Selected Stories,Willa Cather,Unknown Date,English,Produced by Judith Boss, and David Widger
01347,The Saga of Grettir the Strong: Grettir's Saga,Unknown,Unknown Date,English,Produced by Douglas B. Killings, and David Reid, and John Servilio, and David Widger
01348,Hesiod, the Homeric Hymns, and Homerica,Hesiod,Unknown Date,English,Produced by Douglas B. Killings, and David Widger
01349,The Harvester,Gene Stratton-Porter,Unknown Date,English,Charles Keller and David Widger
01350,Fanny Herself,Edna Ferber,Unknown Date,English,Produced by Mike Lough and David Widger
01351,Of Human Bondage,W. Somerset Maugham,Unknown Date,English,Unknown Credits
01352,Buttered Side Down: Stories,Edna Ferber,Unknown Date,English,Unknown Credits
01353,In Flanders Fields, and Other Poems,John McCrae,Unknown Date,English,Produced by A. Light, L. Bowser, and David Widger
01354,The Story of a Pioneer,Anna Howard Shaw,Unknown Date,English,Produced by Mike Lough, and David Widger
01355,The Parasite: A Story,Arthur Conan Doyle,Unknown Date,English,Unknown Credits
01356,Beyond the City,Arthur Conan Doyle,Unknown Date,English,Produced by Michael Hart, Trevor Carlson and David Widger
01357,A Dream of John Ball; and, A King's Lesson,William Morris,Unknown Date,English,Unknown Credits
01358,The Scarlet Car,Richard Harding Davis,Unknown Date,English,Unknown Credits
01359,Good Stories for Great Holidays,Frances Jenkins Olcott,Unknown Date,English,Produced by Mike Lough, and David Widger
01360,What is Property? An Inquiry into the Principle of Right and of Government,P.-J. Proudhon,Unknown Date,English,Produced by Mike Lough, and David Widger
01361,Miss Billy — Married,Eleanor H. Porter,Unknown Date,English,Charles Keller, and David Widger
01362,Miss Billy's Decision,Eleanor H. Porter,Unknown Date,English,Produced by Charles Keller, and David Widger
01363,The Oakdale Affair,Edgar Rice Burroughs,Unknown Date,English,Produced by Judith Boss, and David Widger
01364,The Mad King,Edgar Rice Burroughs,Unknown Date,English,Judith Boss
01365,The Land of Little Rain,Mary Austin,Unknown Date,English,Produced by Judith Boss, and David Widger
01366,Bab: A Sub-Deb,Mary Roberts Rinehart,Unknown Date,English,Produced by Anonymous Project Gutenberg Volunteers
01367,The Country of the Pointed Firs,Sarah Orne Jewett,Unknown Date,English,Produced by Judith Boss, and David Widger
01368,Acres of Diamonds: Our Every-day Opportunities,Russell H. Conwell,Unknown Date,English,Produced by Charles Keller and David Widger
01369,The outlaw of Torn,Edgar Rice Burroughs,Unknown Date,English,Produced by Judith Boss, and David Widger
01370,The Fortunes and Misfortunes of the Famous Moll Flanders,Daniel Defoe,Unknown Date,English,Unknown Credits
01371,Literary Blunders: A Chapter in the "History of Human Error",Henry B. Wheatley,Unknown Date,English,Produced by Charles Keller
01372,Prince Otto, a Romance,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1905 edition by David Price
01373,Lay Morals, and Other Papers,Robert Louis Stevenson,Unknown Date,English,Transcribed from the Chatto and Windus 1911 edition by David Price
01374,Fantastic Fables,Ambrose Bierce,Unknown Date,English,Transcribed from the 1899 G. P. Putnam's Sons edition by David Price
01375,An Occurrence at Owl Creek Bridge,Ambrose Bierce,Unknown Date,English,Unknown Credits
01376,A Journal of the Plague Year,Daniel Defoe,Unknown Date,English,Tokuya Matsumoto and David Widger
01377,Kansas Women in Literature,Nettie Garmer Barker,Unknown Date,English,Produced by Mike Lough, and David Widger
01378,The White Knight: Tirant Lo Blanc,Joanot Martorell,Unknown Date,English,Produced by Robert S. Rudder
01379,Worldly Ways & Byways,Eliot Gregory,Unknown Date,English,Transcribed from the 1899 Charles Scribner's Sons edition by David Price
01380,Weir of Hermiston: An Unfinished Romance,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1913 Chatto and Windus edition by David Price
01381,Memories and Portraits,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1912 Chatto and Windus edition by David Price
01382,Edinburgh: Picturesque Notes,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1903 Seeley & Co. Ltd. edition by David Price
01383,She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy,Oliver Goldsmith,Unknown Date,English,G. R. Young and David Widger
01384,The Lost Prince,Frances Hodgson Burnett,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines
01385,The Redheaded Outfield, and Other Baseball Stories,Zane Grey,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01386,Virginibus Puerisque, and Other Papers,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1897 Chatto & Windus edition by David Price
01387,Vailima Letters,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1908 Methuen edition by David Price
01388,The Crossing,Winston Churchill,Unknown Date,English,Produced by Charles Keller, David Widger, and Robert Homa
01389,The Great God Pan,Arthur Machen,Unknown Date,English,Brandi Weed. HTML version by Al Haines.
01390,A Lute of Jade : Selections from the Classical Poets of China,L. Cranmer-Byng,Unknown Date,English,Unknown Credits
01391,The Song of Roland,Unknown Author,Unknown Date,English,Produced by Douglas B. Killings and R. J. Maley
01392,Jerusalem Delivered,Torquato Tasso,Unknown Date,English,Douglas B. Killings
01393,The Blue Lagoon: A Romance,H. De Vere Stacpoole,Unknown Date,English,Produced by Edward A. Malone.  Corrections by Roger Frank.
01394,Cranford,Elizabeth Cleghorn Gaskell,Unknown Date,English,David Price, Margaret Price and Richard Tonsing
01395,The Holy War, Made by King Shaddai Upon Diabolus, for the Regaining of the Metropolis of the World; Or, The Losing and Taking Again of the Town of Mansoul,John Bunyan,Unknown Date,English,Transcribed from the 1907 Religious Tract Society edition by David Price
01396,The Lady, or the Tiger?,Frank R. Stockton,Unknown Date,English,Produced by Edward A. Malone
01397,L'Allegro, Il Penseroso, Comus, and Lycidas,John Milton,Unknown Date,English,Produced by Edward A. Malone
01398,The First Book of Adam and Eve,Rutherford Hayes Platt,Unknown Date,English,Unknown Credits
01399,Cast Upon the Breakers,Jr. Horatio Alger,Unknown Date,English,Produced by Charles Keller and David Widger
01400,Helen of Troy, and Other Poems,Sara Teasdale,Unknown Date,English,Produced by A. Light and L. Bowser. For Gwenette
01401,Blix,Frank Norris,Unknown Date,English,Unknown Credits
01402,Penrod,Booth Tarkington,Unknown Date,English,Produced by An Anonymous Volunteer and David Widger
01403,Soldiers of Fortune,Richard Harding Davis,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01404,Industrial Biography: Iron Workers and Tool Makers,Samuel Smiles,Unknown Date,English,Unknown Credits
01405,Adventures and Letters of Richard Harding Davis,Richard Harding Davis,Unknown Date,English,Unknown Credits
01406,Appreciations of Richard Harding Davis,Various,Unknown Date,English,Unknown Credits
01407,The Reporter Who Made Himself King,Richard Harding Davis,Unknown Date,English,Unknown Credits
01408,The Souls of Black Folk,W. E. B. Du Bois,Unknown Date,English,Unknown Credits
01409,Poems on various subjects, religious and moral,Phillis Wheatley,Unknown Date,English,Etext produced by Judith Boss
01410,Hell Fer Sartain and Other Stories,Jr. John Fox,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01411,The King's Jackal,Richard Harding Davis,Unknown Date,English,Unknown Credits
01412,John Jacob Astor,Elbert Hubbard,Unknown Date,English,Produced by Charles Keller
01413,Ballads,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1895 Chatto & Windus edition by David Price
01414,The Pageant of Summer,Richard Jefferies,Unknown Date,English,Transcribed from the 1914 Chatto & Windus edition by David Price
01415,The Bible in Spain,George Borrow,Unknown Date,English,David Price
01416,Winesburg, Ohio: A Group of Tales of Ohio Small Town Life,Sherwood Anderson,Unknown Date,English,Judith Boss
01417,Dr. Martin Luther's Deutsche Geistliche Lieder,Martin Luther,Unknown Date,German, English,Unknown Credits
01418,A Treatise on Good Works,Martin Luther,Unknown Date,English,Unknown Credits
01419,The Magic of Oz,L. Frank Baum,Unknown Date,English,Produced by Dennis Amundson.
01420,Dorothy and the Wizard in Oz,L. Frank Baum,Unknown Date,English,Produced by Dennis Amundson.
01421,Kidnapped,Robert Louis Stevenson,Unknown Date,English,Produced by An Anonymous Volunteer and David Widger
01422,The Romany Rye,George Borrow,Unknown Date,English,Transcribed from the 1907 J. M. Dent Edition by David Price
01423,Round the Red Lamp: Being Facts and Fancies of Medical Life,Arthur Conan Doyle,Unknown Date,English,Unknown Credits
01424,General William Booth Enters into Heaven, and Other Poems,Vachel Lindsay,Unknown Date,English,Produced by A. Light and L. Bowser
01425,Familiar Studies of Men and Books,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1896 Chatto & Windus edition by David Price
01426,Tales and Fantasies,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1905 Chatto & Windus edition by David Price
01427,The Great War Syndicate,Frank R. Stockton,Unknown Date,English,Unknown Credits
01428,Frivolous Cupid,Anthony Hope,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01429,The Magic Egg, and Other Stories,Frank R. Stockton,Unknown Date,English,Unknown Credits
01430,The Grain of Dust: A Novel,David Graham Phillips,Unknown Date,English,Produced by Charles Keller and David Garcia
01431,The Fortune Hunter,David Graham Phillips,Unknown Date,English,Produced by Charles Keller
01432,The Ambassadors,Henry James,Unknown Date,English,Richard D. Hathaway and Julia P DeRanek
01433,The Conflict,David Graham Phillips,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01434,The Circular Staircase,Mary Roberts Rinehart,Unknown Date,English,Unknown Credits
01435,Miracle Mongers and Their Methods,Harry Houdini,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01436,The Master Key,L. Frank Baum,Unknown Date,English,Produced by Dennis Amundson.
01437,The Life of Lazarillo of Tormes: His Fortunes and Misfortunes as Told by Himself,Anonymous,Unknown Date,English,Produced by an anonymous Project Gutenberg volunteer
01438,Underwoods,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1989 Chatto & Windus edition by David Price
01439,The Vital Message,Arthur Conan Doyle,Unknown Date,English,Etext produced by and anonymous Project Gutenberg volunteer
01440,Just David,Eleanor H. Porter,Unknown Date,English,Unknown Credits
01441,New Poems, and Variant Readings,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1918 Chatto & Windus edition by David Price
01442,Love Songs,Sara Teasdale,Unknown Date,English,Produced by A. Light and L. Bowser. For Gwenette
01443,The Love Affairs of a Bibliomaniac,Eugene Field,Unknown Date,English,Produced by Charles Keller
01444,System of Economical Contradictions; Or, The Philosophy of Misery,P.-J. Proudhon,Unknown Date,English,Scanned with OmniPage Professional OCR software donated by Caere Corporation
01445,The crowd,Gustave Le Bon,Unknown Date,English,Scanned with OmniPage Professional OCR software donated by Caere Corporation.
01446,A Book of Remarkable Criminals,H. B. Irving,Unknown Date,English,Produced by Mike Lough, and David Widger
01447,Maggie: A Girl of the Streets,Stephen Crane,Unknown Date,English,Produced by Judith Boss.  HTML version by Al Haines
01448,The Psychology of Revolution,Gustave Le Bon,Unknown Date,English,Scanned by Charles Keller with OmniPage Professional OCR software donated by Caere Corporation
01449,Pathology of Lying, Accusation, and Swindling: A Study in Forensic Psychology,William Healy,Unknown Date,English,Scanned by Charles Keller with OmniPage Professional OCR software donated by Caere Corporation
01450,Susan Lenox: Her Fall and Rise,David Graham Phillips,Unknown Date,English,Unknown Credits
01451,The Shadow Line: A Confession,Joseph Conrad,Unknown Date,English,Produced by Judith Boss and David Widger
01452,Lavengro: The Scholar, the Gypsy, the Priest,George Borrow,Unknown Date,English,Transcribed from the 1900 Macmillian and Co. Edition by David Price
01453,Emma McChesney and Co.,Edna Ferber,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01454,The Breitmann Ballads,Charles Godfrey Leland,Unknown Date,English,Unknown Credits
01455,The University of Hard Knocks,Ralph Albert Parlette,Unknown Date,English,Unknown Credits
01456,The Door in the Wall, and Other Stories,H. G. Wells,Unknown Date,English,Judith Boss
01457,The Price She Paid,David Graham Phillips,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01458,Dreams and Dust,Don Marquis,Unknown Date,English,Produced by Judith Boss
01459,The White People,Frances Hodgson Burnett,Unknown Date,English,Produced by Charles Keller and David Widger
01460,The Dawn of a To-morrow,Frances Hodgson Burnett,Unknown Date,English,E-text prepared by Charles Keller with OmniPage Professional OCR software donated by Caere Corporation HTML version prepared by Juliet Sutherland, Melissa Er-Raqabi, and the Project Gutenberg Online Distributed Proofreading Team https://www.pgdp.net
01461,The Quest of the Golden Girl: A Romance,Richard Le Gallienne,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01462,The Errand Boy; Or, How Phil Brent Won Success,Jr. Horatio Alger,Unknown Date,English,Produced by Mike Lough and David Widger
01463,The Red Badge of Courage: An Episode of the American Civil War,Stephen Crane,Unknown Date,English,Produced by Judith Boss.  HTML version by Al Haines.
01464,In the South Seas,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1908 Chatto & Windus edition by David Price
01465,The Mountains,Stewart Edward White,Unknown Date,English,Produced by Dianne Bean.  HTML version by Al Haines.
01466,The Gaming Table: Its Votaries and Victims. Volume 1 (of 2),Andrew Steinmetz,Unknown Date,English,Produced by Mike Lough, and David Widger
01467,The Princess of Cleves,Madame de La Fayette,Unknown Date,English,Unknown Credits
01468,Manon Lescaut,abbé Prévost,Unknown Date,English,Unknown Credits
01469,The Duchesse of Langeais,Honoré de Balzac,Unknown Date,English,Produced by An Anonymous Volunteer, and David Widger
01470,Heretics,G. K. Chesterton,Unknown Date,English,Produced by Mike Piff and Martin Ward.  HTML version by Al Haines.
01471,The Bride of Lammermoor,Walter Scott,Unknown Date,English,An Anonymous Volunteer and David Widger
01472,The House Behind the Cedars,Charles W. Chesnutt,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01473,Stories to Tell to Children,Sara Cone Bryant,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01474,How to Tell Stories to Children, and Some Stories to Tell,Sara Cone Bryant,Unknown Date,English,Original Etext produced by Charles Keller.  Merged with new
01475,In Darkest England, and the Way Out,William Booth,Unknown Date,English,Unknown Credits
01476,James Nasmyth, Engineer: An Autobiography,James Nasmyth,Unknown Date,English,Unknown Credits
01477,Criminal Sociology,Enrico Ferri,Unknown Date,English,Unknown Credits
01478,The Cost,David Graham Phillips,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01479,Little Lord Fauntleroy,Frances Hodgson Burnett,Unknown Date,English,Produced by Charles Keller and David Widger
01480,"Undo": A Novel,Joe Hutsko,Unknown Date,English,Unknown Credits
01481,In the Bishop's Carriage,Miriam Michelson,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01482,The Woodlanders,Thomas Hardy,Unknown Date,English,Unknown Credits
01483,The Conquest of Canaan,Booth Tarkington,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines
01484,Poor and Proud; Or, The Fortunes of Katy Redburn: A Story for Young Folks,Oliver Optic,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01485,The Road to Oz,L. Frank Baum,Unknown Date,English,Produced by Warren Baldwin and Dennis Amundson.
01486,Ozma of Oz,L. Frank Baum,Unknown Date,English,Produced by John N. White and Dennis Amundson.
01487,Songs of Travel, and Other Verses,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1908 Chatto & Windus edition by David Price
01488,She Stands Accused,Victor MacClure,Unknown Date,English,Produced by Mike Lough and David Widger
01489,One Basket,Edna Ferber,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01490,Life and Adventures of Calamity Jane,Calamity Jane,Unknown Date,English,Unknown Credits
01491,Rezanov,Gertrude Franklin Horn Atherton,Unknown Date,English,Produced by Judith Boss.  HTML version by Al Haines.
01492,Essays in the Art of Writing,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1905 Chatto & Windus edition by David Price
01493,Falk: A Reminiscence,Joseph Conrad,Unknown Date,English,Produced by Judith Boss and David Widger
01494,To-morrow,Joseph Conrad,Unknown Date,English,Produced by Judith Boss and David Widger
01495,Amy Foster,Joseph Conrad,Unknown Date,English,Produced by Judith Boss and David Widger
01496,The Little Lame Prince,Dinah Maria Mulock Craik,Unknown Date,English,Produced by Charles Keller and David Widger
01497,Tracks of a Rolling Stone,Henry J. Coke,Unknown Date,English,Transcribed from the 1905 Smith, Elder, & Co. edition by David Price. Second proofed by Margaret Price
01498,Rebecca of Sunnybrook Farm,Kate Douglas Smith Wiggin,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01499,Tom Swift in the Land of Wonders; Or, The Underground Search for the Idol of Gold,Victor Appleton,Unknown Date,English,Produced by Charles Keller.
01500,The Adventures of Pinocchio,Carlo Collodi,Unknown Date,English,Produced by Charles Keller (for Tina); and David Widger
01501,The Story of Doctor Dolittle,Hugh Lofting,Unknown Date,English,Produced by Emmy, MWS and the Online Distributed
01502,Desert Gold,Zane Grey,Unknown Date,English,Unknown Credits
01503,The Blue Fairy Book,Andrew Lang,Unknown Date,English,Produced by David Widger, and Charles Keller for Tina
01504,The Fifth String,John Philip Sousa,Unknown Date,English,Produced by Judith Boss and Charles Keller.  HTML version by Al Haines.
01505,History of the Warfare of Science with Theology in Christendom,Andrew Dickson White,Unknown Date,English,Produced by An Anonymous Volunteer, and David Widger
01506,The Shuttle,Frances Hodgson Burnett,Unknown Date,English,Produced by Charles Keller and David Widger
01507,Adam Bede,George Eliot,Unknown Date,English,An Anonymous Volunteer and David Widger
01508,Twice-Told Tales,Nathaniel Hawthorne,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01509,The Purcell Papers — Volume 1,Joseph Sheridan Le Fanu,Unknown Date,English,Produced by David Widger
01510,The Purcell Papers — Volume 2,Joseph Sheridan Le Fanu,Unknown Date,English,Produced by David Widger
01511,The Purcell Papers — Volume 3,Joseph Sheridan Le Fanu,Unknown Date,English,Produced by David Widger
01512,Mosses from an old manse,Nathaniel Hawthorne,Unknown Date,English,Charles Keller
01513,The snow-image, and other twice-told tales,Nathaniel Hawthorne,Unknown Date,English,Charles Keller
01514,Little Women,Louisa May Alcott,Unknown Date,English,Unknown Credits
01515,Margret Howth: A Story of To-day,Rebecca Harding Davis,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01516,The Silverado Squatters,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1906 Chatto & Windus edition by David Price
01517,The Emerald City of Oz,L. Frank Baum,Unknown Date,English,Produced by Warren Baldwin and Dennis Amundson
01518,The Enchanted Island of Yew,L. Frank Baum,Unknown Date,English,Produced by John N. White and Dennis Amundson.
01519,A Kidnapped Santa Claus,L. Frank Baum,Unknown Date,English,Produced by Dennis Amundson
01520,The Life and Adventures of Santa Claus,L. Frank Baum,Unknown Date,English,Produced by Dennis Amundson
01521,The Life and Adventures of Robinson Crusoe,Daniel Defoe,Unknown Date,English,David Price
01522,The Chinese Boy and Girl,Isaac Taylor Headland,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01523,Court Life in China: The Capital, Its Officials and People,Isaac Taylor Headland,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01524,Ann Veronica: A Modern Love Story,H. G. Wells,Unknown Date,English,Produced by Charles Keller and David Widger
01525,Youth, a Narrative,Joseph Conrad,Unknown Date,English,Produced by Judith Boss and David Widger
01526,Heart of Darkness,Joseph Conrad,Unknown Date,English,Produced by Judith Boss and David Widger
01527,The End of the Tether,Joseph Conrad,Unknown Date,English,Produced by Judith Boss and David Widger
01528,Joe the Hotel Boy; Or, Winning out by Pluck,Jr. Horatio Alger,Unknown Date,English,Produced by Charles Keller and David Widger
01529,Knights of Art: Stories of the Italian Painters,Amy Steedman,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01530,Driven from Home; Or, Carl Crawford's Experience,Jr. Horatio Alger,Unknown Date,English,Produced by Charles Keller and David Widger
01531,The Gaming Table: Its Votaries and Victims. Volume 2 (of 2),Andrew Steinmetz,Unknown Date,English,Produced by Mike Lough, and David Widger
01532,At the Foot of the Rainbow,Gene Stratton-Porter,Unknown Date,English,Unknown Credits
01533,The Song of the Cardinal,Gene Stratton-Porter,Unknown Date,English,Unknown Credits
01534,An Inland Voyage,Robert Louis Stevenson,Unknown Date,English,Transcribed from 1904 Chatto & Windus edition by David Price. Second proof by Margaret Price
01535,Travels with a donkey in the Cevennes,Robert Louis Stevenson,Unknown Date,English,Transcribed by David Price Second proof by Margaret Price
01536,A Footnote to History: Eight Years of Trouble in Samoa,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1912 Swanston edition by David Price
01537,Tales of Terror and Mystery,Arthur Conan Doyle,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01538,Jean of the Lazy A,B. M. Bower,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01539,A. W. Kinglake: A Biographical and Literary Study,William Tuckwell,Unknown Date,English,Transcribed from the 1902 Edition by David Price
01540,The Red Fairy Book,Unknown Author,Unknown Date,English,David Widger and Charles Keller for Tina
01541,The Age of Innocence,Edith Wharton,Unknown Date,English,Produced by Judith Boss and Charles Keller.  HTML version by Al Haines.
01542,The Life of Me: An Autobiography,Clarence Edgar Johnson,Unknown Date,English,Unknown Credits
01543,Main Street,Sinclair Lewis,Unknown Date,English,Produced by Charles Keller and David Widger
01544,Anne's House of Dreams,L. M. Montgomery,Unknown Date,English,Charles Keller.  HTML version by Al Haines.
01545,At the Earth's Core,Edgar Rice Burroughs,Unknown Date,English,Produced by Judith Boss.
01546,Under the Andes,Rex Stout,Unknown Date,English,Produced by Judith Boss.  HTML version by Al Haines.
01547,Baron Trigault's Vengeance,Emile Gaboriau,Unknown Date,English,Produced by David Widger
01548,Project Trinity, 1945-1946,Carl R. Maag,Unknown Date,English,Unknown Credits
01549,The Underdogs: A Novel of the Mexican Revolution,Mariano Azuela,Unknown Date,English,Produced by Judith Boss.  HTML version by Al Haines.
01550,Silas Marner,George Eliot,Unknown Date,English,Unknown Credits
01551,The Land That Time Forgot,Edgar Rice Burroughs,Unknown Date,English,Produced by Judith Boss.  HTML version by Al Haines.
01552,The People That Time Forgot,Edgar Rice Burroughs,Unknown Date,English,Produced by Judith Boss.  HTML version by Al Haines.
01553,Out of Time's Abyss,Edgar Rice Burroughs,Unknown Date,English,Produced by Judith Boss.
01554,The Contrast,Royall Tyler,Unknown Date,English,Produced by Judith Boss
01555,The Unbearable Bassington,Saki,Unknown Date,English,Transcribed from the 1913 John Lane edition by David Price
01556,Rewards and Fairies,Rudyard Kipling,Unknown Date,English,Produced by Jo Churcher
01557,Puck of Pook's Hill,Rudyard Kipling,Unknown Date,English,Produced by Jo Churcher.  HTML version by Al Haines.
01558,The Thirty-Nine Steps,John Buchan,Unknown Date,English,Jo Churcher. HTML version by Al Haines. Corrections by Menno de Leeuw.
01559,Greenmantle,John Buchan,Unknown Date,English,Jo Churcher. HTML version by Al Haines.
01560,Mr. Standfast,John Buchan,Unknown Date,English,Produced by Jo Churcher.  HTML version by Al Haines.
01561,The Further Adventures of Robinson Crusoe,Daniel Defoe,Unknown Date,English,Transcribed from the 1919 Seeley, Sevice & Co edition by David Price
01562,The Go Ahead Boys and the Racing Motor-Boat,Ross Kay,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01563,The Planet Mars and Its Inhabitants, a Psychic Revelation,J. L. Kennon,Unknown Date,English,Produced by Charles Keller.  HTML version by Al Haines.
01564,The Mystery of Edwin Drood,Charles Dickens,Unknown Date,English,Unknown Credits
01565,The Zincali: An Account of the Gypsies of Spain,George Borrow,Unknown Date,English,Transcribed from the 1901 John Murray edition by David Price
01566,The History of the Thirty Years' War,Friedrich Schiller,Unknown Date,English,Produced by A. Light
01567,The Complete Works of Brann, the Iconoclast — Volume 01,William Cowper Brann,Unknown Date,English,Unknown Credits
01568,The Complete Works of Brann, the Iconoclast — Volume 10,William Cowper Brann,Unknown Date,English,Scanned by Charles Keller with OmniPage Professional OCR software donated by Caere Corporation
